locator,source_kind,raw,carries,multiplicity,count_min,count_max,reviewed_multiplicity,reviewed_multiplicity_note,vertical_kind,vertical_raw,occurrence_split_count,expected_target_concepts,adjudication,adjudication_note,review_position
legacy_generator:LIGHT:L1,python_literal,"('L1', 860, 150, u'вывод 1 — зона кухни', True, 'add8 + 930d', u'ДВА вывода в комнате 25 м²'),",LIGHT,single,1,1,single,"One ceiling point. The CSV count of 2 on E-KL-LIGHT is carried by that row, not doubled here.",unstated,,,observation;assertion,accepted,"⚠ REVISED 2026-09-17 - `occurrence` WITHDRAWN. ⚠ COMPARABLE-FLAT RULE (owner, 2026-09-17): an observation in another flat is an asserted observation SCOPED TO THAT FLAT, and a CANDIDATE, DERIVED projection onto this apartment. Repetition raises confidence but does not change the subject. There is NO interior photograph of this unit at all - the single photo of ours in photo_positions.csv is an exterior elevation - so nothing here is field-verified. EVIDENCE: add8 (109) + 930d (53), via E-KL-LIGHT - two points observed in the 25 m² room of apartment 109 - useful evidence of a STANDARD ARRANGEMENT, not proof of this unit. So the target records are (1) an observation scoped to the flat actually photographed and (2) a candidate, derived existence/count assertion about THIS apartment. existence_readiness=candidate for THIS apartment, so NO target-apartment occurrence is minted - the same rule that stopped S17/S18. The observation and the projected count assertion are both preserved. An owner approval could authorise these as PLANNED elements; it cannot retrospectively turn comparable-flat evidence into observation of the existing flat. NOT A LUMINAIRE. The generator draws this with pend=True, which its own legend reads as «Вывод под светильник» - a CEILING CABLE OUTLET / connection point, not a fitting. No IfcLightFixture may be generated from it: the developer left a cable, and what is eventually hung on it is a separate, undecided thing. LOCATOR KIND IS `surface_local`, NOT `wall_face` - a ceiling point has no along-wall position. And the support is NOT defaulted to IfcSlab: the evidence says only ""ceiling"" and does not establish whether the cable emerges from the structural slab or the point sits on a finished/suspended ceiling. `surface_role` must be authored, not inferred.",make_services_sheets.py:117:1
legacy_generator:LIGHT:L2,python_literal,"('L2', 860, 620, u'вывод 2 — зона гостиной', True, 'add8', u'то же, второй кабель'),",LIGHT,single,1,1,single,"One ceiling point. The CSV count of 2 on E-KL-LIGHT is carried by that row, not doubled here.",unstated,,,observation;assertion,accepted,"⚠ REVISED 2026-09-17 - `occurrence` WITHDRAWN. ⚠ COMPARABLE-FLAT RULE (owner, 2026-09-17): an observation in another flat is an asserted observation SCOPED TO THAT FLAT, and a CANDIDATE, DERIVED projection onto this apartment. Repetition raises confidence but does not change the subject. There is NO interior photograph of this unit at all - the single photo of ours in photo_positions.csv is an exterior elevation - so nothing here is field-verified. EVIDENCE: add8 (109), via E-KL-LIGHT - the second of that pair. So the target records are (1) an observation scoped to the flat actually photographed and (2) a candidate, derived existence/count assertion about THIS apartment. existence_readiness=candidate for THIS apartment, so NO target-apartment occurrence is minted - the same rule that stopped S17/S18. The observation and the projected count assertion are both preserved. An owner approval could authorise these as PLANNED elements; it cannot retrospectively turn comparable-flat evidence into observation of the existing flat. NOT A LUMINAIRE. The generator draws this with pend=True, which its own legend reads as «Вывод под светильник» - a CEILING CABLE OUTLET / connection point, not a fitting. No IfcLightFixture may be generated from it: the developer left a cable, and what is eventually hung on it is a separate, undecided thing. LOCATOR KIND IS `surface_local`, NOT `wall_face` - a ceiling point has no along-wall position. And the support is NOT defaulted to IfcSlab: the evidence says only ""ceiling"" and does not establish whether the cable emerges from the structural slab or the point sits on a finished/suspended ceiling. `surface_role` must be authored, not inferred.",make_services_sheets.py:118:1
legacy_generator:LIGHT:L3,python_literal,"('L3', 430, 200, u'прихожая', True, 'a82a + a89c + 9e9b', u'подвес в коридоре, все 3 квартиры'),",LIGHT,single,1,1,single,One item.,unstated,,,observation;assertion,accepted,"⚠ REVISED 2026-09-17 - `occurrence` WITHDRAWN. ⚠ COMPARABLE-FLAT RULE (owner, 2026-09-17): an observation in another flat is an asserted observation SCOPED TO THAT FLAT, and a CANDIDATE, DERIVED projection onto this apartment. Repetition raises confidence but does not change the subject. There is NO interior photograph of this unit at all - the single photo of ours in photo_positions.csv is an exterior elevation - so nothing here is field-verified. EVIDENCE: a82a + a89c (109), 9e9b (2), via E-C-LIGHT - the STRONGEST projection of the seven - but three photos across TWO flats, not three, and still a projection. So the target records are (1) an observation scoped to the flat actually photographed and (2) a candidate, derived existence/count assertion about THIS apartment. existence_readiness=candidate for THIS apartment, so NO target-apartment occurrence is minted - the same rule that stopped S17/S18. The observation and the projected count assertion are both preserved. An owner approval could authorise these as PLANNED elements; it cannot retrospectively turn comparable-flat evidence into observation of the existing flat. NOT A LUMINAIRE. The generator draws this with pend=True, which its own legend reads as «Вывод под светильник» - a CEILING CABLE OUTLET / connection point, not a fitting. No IfcLightFixture may be generated from it: the developer left a cable, and what is eventually hung on it is a separate, undecided thing. LOCATOR KIND IS `surface_local`, NOT `wall_face` - a ceiling point has no along-wall position. And the support is NOT defaulted to IfcSlab: the evidence says only ""ceiling"" and does not establish whether the cable emerges from the structural slab or the point sits on a finished/suspended ceiling. `surface_role` must be authored, not inferred.",make_services_sheets.py:119:1
legacy_generator:LIGHT:L4,python_literal,"('L4', 495, 520, u'средняя комната', True, 'b6f0', u'кабель у окна'),",LIGHT,single,1,1,single,One item.,unstated,,,observation;assertion,accepted,"⚠ REVISED 2026-09-17 - `occurrence` WITHDRAWN. ⚠ COMPARABLE-FLAT RULE (owner, 2026-09-17): an observation in another flat is an asserted observation SCOPED TO THAT FLAT, and a CANDIDATE, DERIVED projection onto this apartment. Repetition raises confidence but does not change the subject. There is NO interior photograph of this unit at all - the single photo of ours in photo_positions.csv is an exterior elevation - so nothing here is field-verified. EVIDENCE: kids_room_window = b6f0 (53, MIRRORED), via E-MR-LIGHT - ONE mirrored comparable - and the source row attributed it to 109 until corrected 2026-09-17. So the target records are (1) an observation scoped to the flat actually photographed and (2) a candidate, derived existence/count assertion about THIS apartment. existence_readiness=candidate for THIS apartment, so NO target-apartment occurrence is minted - the same rule that stopped S17/S18. The observation and the projected count assertion are both preserved. An owner approval could authorise these as PLANNED elements; it cannot retrospectively turn comparable-flat evidence into observation of the existing flat. NOT A LUMINAIRE. The generator draws this with pend=True, which its own legend reads as «Вывод под светильник» - a CEILING CABLE OUTLET / connection point, not a fitting. No IfcLightFixture may be generated from it: the developer left a cable, and what is eventually hung on it is a separate, undecided thing. LOCATOR KIND IS `surface_local`, NOT `wall_face` - a ceiling point has no along-wall position. And the support is NOT defaulted to IfcSlab: the evidence says only ""ceiling"" and does not establish whether the cable emerges from the structural slab or the point sits on a finished/suspended ceiling. `surface_role` must be authored, not inferred.",make_services_sheets.py:120:1
legacy_generator:LIGHT:L5,python_literal,"('L5', 150, 500, u'комната 9.36', True, 'bc18', u'кабель на потолке'),",LIGHT,single,1,1,single,One item.,unstated,,,observation;assertion,accepted,"⚠ REVISED 2026-09-17 - `occurrence` WITHDRAWN. ⚠ COMPARABLE-FLAT RULE (owner, 2026-09-17): an observation in another flat is an asserted observation SCOPED TO THAT FLAT, and a CANDIDATE, DERIVED projection onto this apartment. Repetition raises confidence but does not change the subject. There is NO interior photograph of this unit at all - the single photo of ours in photo_positions.csv is an exterior elevation - so nothing here is field-verified. EVIDENCE: bc18 (109), via E-SB-LIGHT - ONE comparable. So the target records are (1) an observation scoped to the flat actually photographed and (2) a candidate, derived existence/count assertion about THIS apartment. existence_readiness=candidate for THIS apartment, so NO target-apartment occurrence is minted - the same rule that stopped S17/S18. The observation and the projected count assertion are both preserved. An owner approval could authorise these as PLANNED elements; it cannot retrospectively turn comparable-flat evidence into observation of the existing flat. NOT A LUMINAIRE. The generator draws this with pend=True, which its own legend reads as «Вывод под светильник» - a CEILING CABLE OUTLET / connection point, not a fitting. No IfcLightFixture may be generated from it: the developer left a cable, and what is eventually hung on it is a separate, undecided thing. LOCATOR KIND IS `surface_local`, NOT `wall_face` - a ceiling point has no along-wall position. And the support is NOT defaulted to IfcSlab: the evidence says only ""ceiling"" and does not establish whether the cable emerges from the structural slab or the point sits on a finished/suspended ceiling. `surface_role` must be authored, not inferred.",make_services_sheets.py:121:1
legacy_generator:LIGHT:L6,python_literal,"('L6', 150, 150, u'туалет', False, NOPH, u'—'),",LIGHT,single,1,1,single,One item.,unstated,,,assertion,accepted,"LIKE S12/S13, AND FOR THE SAME REASON. Drawn with pend=False, which the legend reads as «Светильник встраиваемый (проект)» - a PROPOSED embedded fixture, not an observed outlet. source_photos is NOPH, no CSV row covers туалет, and the generator's own sheet note says the toilet and bathroom outlets are «НЕ видны ни на одном фото - показаны предположительно». So this is a HISTORICAL ASSERTION that the legacy sheet PROPOSED a fixture here, and nothing more. existence_readiness=candidate, so NO occurrence is minted - the same rule that stopped S17/S18 minting identity while existence was open. It is also a PROPOSAL, not a record of the existing flat, so it does not belong in the existing-services phase at all.",make_services_sheets.py:122:1
legacy_generator:LIGHT:L7,python_literal,"('L7', 150, 300, u'ванная', False, NOPH, u'—'),",LIGHT,single,1,1,single,One item.,unstated,,,assertion,accepted,"LIKE S12/S13, AND FOR THE SAME REASON. Drawn with pend=False, which the legend reads as «Светильник встраиваемый (проект)» - a PROPOSED embedded fixture, not an observed outlet. source_photos is NOPH, no CSV row covers ванная, and the generator's own sheet note says the toilet and bathroom outlets are «НЕ видны ни на одном фото - показаны предположительно». So this is a HISTORICAL ASSERTION that the legacy sheet PROPOSED a fixture here, and nothing more. existence_readiness=candidate, so NO occurrence is minted - the same rule that stopped S17/S18 minting identity while existence was open. It is also a PROPOSAL, not a record of the existing flat, so it does not belong in the existing-services phase at all.",make_services_sheets.py:123:1
legacy_generator:ROUTES:ГВС,python_literal,"ROUTES = [(u'ГВС', R, [(90, 180), (720.49225, 180), (720.49225, 69.9953)]),",ROUTES,single,1,1,,,unstated,,,,unresolved,,make_services_sheets.py:380:10
legacy_generator:ROUTES:ХВС,python_literal,"(u'ХВС', B, [(90, 186), (730.70995, 186), (730.70995, 69.9953)]),",ROUTES,single,1,1,,,unstated,,,,unresolved,,make_services_sheets.py:381:10
legacy_generator:ROUTES:DN50,python_literal,"(u'DN50', MG, SEWER),",ROUTES,single,1,1,,,unstated,,,,unresolved,,make_services_sheets.py:382:10
legacy_generator:ROUTES:ГВС-в,python_literal,"(u'ГВС-в', R, BATH_W), (u'ХВС-в', B, [(p[0], p[1] + 5) for p in BATH_W]),",ROUTES,single,1,1,,,unstated,,,,unresolved,,make_services_sheets.py:383:10
legacy_generator:ROUTES:ХВС-в,python_literal,"(u'ГВС-в', R, BATH_W), (u'ХВС-в', B, [(p[0], p[1] + 5) for p in BATH_W]),",ROUTES,single,1,1,,,unstated,,,,unresolved,,make_services_sheets.py:383:37
legacy_generator:ROUTES:DN50-в,python_literal,"(u'DN50-в', MG, BATH_S)]",ROUTES,single,1,1,,,unstated,,,,unresolved,,make_services_sheets.py:384:10
legacy_generator:PIPES:P-S,python_literal,"PIPES = [('P-S', 'G3', 0.0326, +1, MG, 'sewer', 6, u'канализация DN50 — ближе всего к шахте', '930d'),",PIPES,single,1,1,,,unstated,,,,unresolved,,make_services_sheets.py:430:9
legacy_generator:PIPES:P-H,python_literal,"('P-H', 'G3', 0.0750, +1, R, 'water', 61, u'горячая, из пола', '930d'),",PIPES,single,1,1,,,unstated,,,,unresolved,,make_services_sheets.py:431:9
legacy_generator:PIPES:P-C,python_literal,"('P-C', 'G3', 0.1076, +1, B, 'water', 61, u'холодная, из пола', '930d')]",PIPES,single,1,1,,,unstated,,,,unresolved,,make_services_sheets.py:432:9
legacy_generator:P1SVC:SW-B-H,python_literal,"P1SVC = [('SW-B-H', 70, 114, R, 'valve', u'ГВС: стояк, счётчик H=138, вентиль H=163', 'ade6'),",P1SVC,single,1,1,,,unstated,,,,unresolved,,make_services_sheets.py:482:9
legacy_generator:P1SVC:SW-B-C,python_literal,"('SW-B-C', 70, 122, B, 'valve', u'ХВС: стояк, счётчик H=138, вентиль H=163', 'ade6'),",P1SVC,single,1,1,,,unstated,,,,unresolved,,make_services_sheets.py:483:9
legacy_generator:P1SVC:SS-B,python_literal,"('SS-B', 70, 133, MG, 'riser', u'стояк канализации DN110 — транзит по всей высоте дома', 'ade6'),",P1SVC,single,1,1,,,unstated,,,,unresolved,,make_services_sheets.py:484:9
legacy_generator:P1SVC:SH-B,python_literal,"('SH-B', 70, 165, GY, 'riser', u'стояк в изоляции — НАЗНАЧЕНИЕ НЕ ПОДТВЕРЖДЕНО', 'ade6'),",P1SVC,single,1,1,,,unstated,,,,unresolved,,make_services_sheets.py:485:9
legacy_generator:P1SVC:SS-K2,python_literal,"('SS-K2', 656, 81, MG, 'riser', u'стояк канализации DN110 за шахтой V2 — второй транзитный стояк', u'владелец')]",P1SVC,single,1,1,,,unstated,,,,unresolved,,make_services_sheets.py:490:9
legacy_generator:tag:V-1,python_literal,"for iid, bx, by, nt, src in (('V-1', 103, 92, u'решётка вытяжки H=218', '930d + 9e9b'),",tag,single,1,1,,,unstated,,,,unresolved,,make_services_sheets.py:560:29
legacy_generator:tag:V-2,python_literal,"('V-2', 656, 128, u'решётка вытяжки H=218', '9e9b')):",tag,single,1,1,,,unstated,,,,unresolved,,make_services_sheets.py:561:29
legacy_generator:tag:F1,python_literal_standalone,"tagsrc(s2, px, py, 'F1', 'a89d + add8', R)",tag,single,1,1,single,One item.,unstated,,,assertion,accepted,"NEITHER EXISTENCE NOR POSITION IS ESTABLISHED FOR THIS FLAT. F1 is coded directly in the generator with no block and NO CSV row anywhere backs it - it was invisible to the ledger until 2026-09-17. Its basis is 'a89d + add8', photos of ANOTHER flat, and the generator's own position_basis says 'photo of another flat; position within the room indicative'. Unlike a ceiling outlet, a fire detector is not established as a uniform developer fit-out item, so an observation elsewhere does not carry to this flat the way E-C-LIGHT does. existence_readiness=candidate: the target is an assertion that a detector was OBSERVED IN A COMPARABLE FLAT, scoped to that flat, plus a candidate assertion about this one. NO occurrence, no identity. LOCATOR KIND IS `surface_local`, NOT `wall_face` - a ceiling point has no along-wall position. And the support is NOT defaulted to IfcSlab: the evidence says only ""ceiling"" and does not establish whether the cable emerges from the structural slab or the point sits on a finished/suspended ceiling. `surface_role` must be authored, not inferred. ⚠ THE XY LITERAL IS NOT A COORDINATE IN THE NEW FRAME. It is a legacy plan/pixel value, and the generator's own position_basis says ""photo of another flat, position within the room indicative"". It must NOT be copied numerically into u_mm/v_mm. Position stays knowledge_basis=derived, value_state=candidate until re-derived. Routing note: the generator already says it belongs on the «Безопасность» sheet, i.e. a different discipline view.",make_services_sheets.py:255
legacy_generator:tag:SV-VT,python_literal_standalone,"REVIEW.append({'item_id': 'SV-VT', 'kind': 'transfer opening, high level',",tag,single,1,1,,,unstated,,,,unresolved,,make_services_sheets.py:554
legacy_comment:1,comment_block,"⚠️⚠️ FROZEN 2026-09-16 — DO NOT ADD AUTHORED FACTS TO THE LISTS BELOW. `SOCK`, `SW` and the route/pipe literals in this file are AUTHORED DATA living in drawing code: wall codes, positions along a wall, heights, photo evidence, and the owner's own decisions as Python string literals. Meanwhile `data/canonical/electrical_existing.csv` and `service_outlets.csv` hold the same kind of fact separately, and the IFC consumes neither. Three places that can disagree, with nothing comparing them. This is the retired-schematic failure one level down: `current_apartment_base.json` diverged from the measured geometry for months because nothing read it. The first concrete failure here will be a socket or a route corrected in one place and left unchanged in the IFC, another discipline sheet or a render. Until service authority is migrated into canonical records: - fix a rendering bug here if you must; - put a NEW placement, height or owner decision in the canonical data, never in this file. It also used to WRITE `data/canonical/electrical_placement_review.csv` - generated output flowing back into the authored directory. That now goes to `data/outputs/review/`, which is where generated review artefacts belong. Sequencing, per the Codex review of 2026-09-16 recorded in `_Inbox/planning/model_rebuild_scope_20260916.md` section 8: the full migration CANNOT precede the geometry compiler, because it would need a second temporary implementation of `on_element` and `along_wall_mm`. Containment - this banner and the write-back fix - is what comes first.","prose; may be a decision, an observation, a retraction, or not a service fact at all",,,,,,,,,,out_of_scope,"migration/freeze policy, not a service fact",make_services_sheets.py:28
legacy_comment:2,comment_block,"G7 - the wall to the middle room. TWO outlets, no switches, per the owner 2026-09-07. I had left it empty; before that I had put a switch on it.","prose; may be a decision, an observation, a retraction, or not a service fact at all",,,,,,,,,,decomposed,Compound block; judged through its atomic claims.,make_services_sheets.py:75
legacy_comment:3,comment_block,"MC, the window wall - NONE. Owner: ""there are no outlets on the wall with the window, not a trace of it."" S16 removed. ============ СРЕДНЯЯ КОМНАТА ============","prose; may be a decision, an observation, a retraction, or not a service fact at all",,,,,,,,,,decomposed,Compound block; judged through its atomic claims.,make_services_sheets.py:83
legacy_comment:4,comment_block,"НЕ на G7: владелец - на стене между средней комнатой и гостиной нет ни выключателей, ни розеток. Выключатель гостиной - у проёма O10, единственного входа в помещение.","prose; may be a decision, an observation, a retraction, or not a service fact at all",,,,,,,,,,decomposed,Compound block; judged through its atomic claims.,make_services_sheets.py:109
legacy_comment:5,comment_block,"ВОДОСНАБЖЕНИЕ under the floor — the OWNER’s route, corrected twice by him. Round 1 (2026-09-07): my rendering of his line turned north at x=648 and ran diagonally to (690, 96) — straight through V2, a concrete ventilation shaft. Round 2 (2026-09-07, same day, the black and blue arrows on his screenshot): (a) the horizontal run sat mid-туалет. It belongs LOWER — further from V1, the туалет’s own vent shaft, and hugging G4b, the туалет’s south wall. Now y=180/186 against G4b’s north face at 192.87: 67 mm clear, and 675 mm off V1 instead of 597. (b) I had added a turn that isn’t there: north at x=700, then EAST again to reach the take-offs. He: “they should approach the wall, the outlet directly — right ahead, not making an additional turn. You made it turn left and then right.” He is right, and the reason is that BOTH outlets already sit east of V2’s east face (714.2 and 720.5 against 677), so each pipe needs exactly ONE turn: east along the floor, then straight north into its own outlet. My dogleg existed only because I routed the PAIR as one offset line instead of routing each pipe to its own fitting. So these are two independent routes, each ending on its own take-off, not one line drawn twice. The SEWER RUN, added 2026-09-07 on the owner: I had drawn the DN50 socket and never drawn the pipe it connects to. 930d shows it plainly — a grey PVC pipe running HORIZONTALLY along the wall base from the socket and continuing into a chase behind the shaft. So it is drawn as observed: west along G3’s base from the socket, disappearing behind the V2/P2 block. It stops there ON PURPOSE. The only sewer stack in the record is SS-B, DN110, in P1 in the туалет — about 6 m away — and no photo shows how this DN50 reaches it, or whether P2 holds a second riser instead. The photo shows the pipe entering the chase and nothing beyond, so that is where the line ends and the callout says so. Drawing a 6 m branch across the flat would be inventing an element, which is the rule the З1/З2 voids broke.","prose; may be a decision, an observation, a retraction, or not a service fact at all",,,,,,,,,,decomposed,Compound block; judged through its atomic claims.,make_services_sheets.py:306
legacy_comment:6,comment_block,"RETRACTED 2026-09-07, same day it was drawn. I built a 6.3 m DN110 лежак from P2 to P1 out of the owner’s words “behind the V2 venting shaft, AND THEN behind the water closet”. He was naming TWO PLACES, not describing a route. His correction: “two sewage pipes — one behind the water closet and another one behind the second vent shaft, next to the kitchen … the transit from the top of the building to the bottom.” They are two STACKS, both DN110, each running the full height of the building. There is no horizontal main across this flat. What I did wrong is not the reading — it is that the reading FIT TOO WELL. Two midpoints from one sentence both landed on my route, and y=152 landed inside P1’s span, and I called that corroboration. It was not: a 250 mm-wide corridor between two fixed obstacles has a midline whatever runs along it, and P1 spans 80 px so almost any y hits it. I checked BEFORE drawing and still fooled myself, because I tested whether the geometry ALLOWED my route instead of whether the evidence REQUIRED it. Consequence: the 125 mm screed-fall warning and the G4C penetration were both consequences of an element that is not there.","prose; may be a decision, an observation, a retraction, or not a service fact at all",,,,,,,,,,decomposed,Compound block: several independently adjudicable claims. See the claim inventory.,make_services_sheets.py:341
legacy_comment:7,comment_block,"============ ВЫВОДЫ В ВАННУЮ — топология из b83a ============ b83a (the owner’s annotated photo of a туалет in a comparable flat) shows the arrangement he wants applied: the ГВС / ХВС / канализация risers stand in the niche at the far end, the two water meters sit at mid height on the risers, and all three services then drop and leave the туалет AT LOW LEVEL — his label on the photo reads “to the bathroom”. My sheet had NOTHING in the ванная. A bath and a basin were on the plan the whole time and I had drawn no water and no drain to either. Third omission of the same kind in one day, and the biggest. On our plan this is a very short route, which is itself a check on the reading: P1 (x 52..87, y 110..192) sits directly NORTH of the bath’s head (bath x 52..123, y 202..378) with only G4b between them, and the basin is on G4b just east of it (x 125..185). So “to the bathroom” is a metre of pipe. ⚠ TOPOLOGY, NOT A SETTING-OUT. His words: “the specific layout could be different … but the general approach is the same”, and more examples are coming. Positions within the ванная are indicative and the sheet says so.","prose; may be a decision, an observation, a retraction, or not a service fact at all",,,,,,,,,,decomposed,Compound block; judged through its atomic claims.,make_services_sheets.py:358
legacy_comment:8,comment_block,"was “продолжение НЕ ЗАФИКСИРОВАНО” — the owner has now answered it, so the open question is closed and the note says what it connects to instead.","prose; may be a decision, an observation, a retraction, or not a service fact at all",,,,,,,,,,out_of_scope,process note; the actual answer is not stated in this block,make_services_sheets.py:409
legacy_comment:9,comment_block,"The three take-offs sit 100 mm apart, which at this scale is 30 sheet px — and each of my per-item labels is ~200 px wide. Six boxes around three symbols could not do anything but cover them (the owner had already flagged labels overlaying their icons once). So this cluster gets ONE grouped callout, with the symbols left clean and a single leader to the group. Which is also just how a real sheet annotates a group of adjacent fittings.","prose; may be a decision, an observation, a retraction, or not a service fact at all",,,,,,,,,,out_of_scope,"drawing-label layout feedback, not service data",make_services_sheets.py:433
legacy_comment:10,comment_block,"The SECOND VALVE NODE is RETRACTED too, drawn and withdrawn the same day. I heard “two switch points” as two valve groups. Owner: “only ONE valve node, [in] the water closet” — the two things behind V2 and behind the туалет are the two SEWER STACKS, which is what he had been telling me all along. “Switch point” was my word, and I built a fitting out of it.","prose; may be a decision, an observation, a retraction, or not a service fact at all",,,,,,,,,,decomposed,Compound block: several independently adjudicable claims. See the claim inventory.,make_services_sheets.py:460
legacy_comment:11,comment_block,"============ P1, САНТЕХБЛОК В ТУАЛЕТЕ ============ The owner: “you can directly draw another outlet for both hot and cold water and the switch as well.” — the “switch” being the shut-off VALVE, and the outlets being SW-B, the risers with meters. All three of P1’s services have been sitting in service_outlets.csv since it was written and NONE of them had ever been drawn. Exactly the same omission as the sewer run: I had drawn only the kitchen items and left the flat’s entire service block off its own services sheet. Recording a finding is not delivering it. Heights are the CSV’s: SW-B meters ~1380, valves ~1630, the two sewers and the insulated riser floor to ceiling. ARRANGEMENT per the owner 2026-09-07: “the sewage pipe is in the middle approximately between the walls, and the valve node is kind of closer to the venting shaft.” V1 sits directly north of P1, so the valves go north (nearest V1) and the stack sits near the mid-line between R1a’s south face (69.8) and G4b’s north face (192.87), i.e. y ≈ 131. SH-B keeps the south end.","prose; may be a decision, an observation, a retraction, or not a service fact at all",,,,,,,,,,decomposed,Compound block; judged through its atomic claims.,make_services_sheets.py:466
legacy_comment:12,comment_block,"the SECOND sewer stack — behind V2, on the kitchen side. Owner: “two sewage pipes … the transit from the top of the building to the bottom.” This is what the kitchen DN50 лежак runs into, and it is why no horizontal main across the flat was ever needed.","prose; may be a decision, an observation, a retraction, or not a service fact at all",,,,,,,,,,decomposed,Compound block; judged through its atomic claims.,make_services_sheets.py:486
