migration_key,source_locators,target_concept,subject_key,property,value,value_type,polarity,knowledge_basis,value_state,scope_kind,scope_ref,scope_phase,disputed_with,notes
ASR-11-p1-internal-arrangement,legacy_comment:11#p1_internal_arrangement,assertion,,arrangement,the sewage pipe is in the middle approximately between the walls,string,affirm,stated,asserted,apartment,ours,existing,,"OWNER-STATED arrangement, 2026-09-07, with the valve node nearer the vent shaft."
ASR-11-derived-stack-y-131,legacy_comment:11#derived_stack_y_131,assertion,,arrangement,y ≈ 131,string,affirm,stated,asserted,apartment,ours,existing,,"DERIVED by the author from the owner's qualitative arrangement. knowledge_basis=derived, value_state=candidate."
ASR-11-sh-b-south-end-assumed,legacy_comment:11#sh_b_south_end_assumed,assertion,,arrangement,SH-B keeps the south end.,string,affirm,stated,asserted,apartment,ours,existing,,"ASSUMED placement - the owner's statement does not mention SH-B at all. knowledge_basis=assumed, value_state=candidate."
ASR-12-second-sewer-stack-behind-v2,legacy_comment:12#second_sewer_stack_behind_v2,assertion,,arrangement,the SECOND sewer stack,string,affirm,stated,asserted,apartment,ours,existing,,"OWNER-SUPPORTED, quoted in the same block: 'two sewage pipes ... the transit from the top of the building to the bottom'."
ASR-12-kitchen-dn50-connects-to-it,legacy_comment:12#kitchen_dn50_connects_to_it,assertion,,route_state,This is what the kitchen DN50,string,affirm,stated,asserted,apartment,ours,existing,,"INFERRED by the author, not stated by the owner - and legacy_comment:5 records that NO photo shows the connection. value_state=candidate, knowledge_basis=derived."
ASR-12-no-horizontal-main-needed,legacy_comment:12#no_horizontal_main_needed,assertion,,position_along,no horizontal main across the flat was ever needed,string,affirm,stated,asserted,apartment,ours,existing,,Corroborates legacy_comment:6#no_horizontal_dn110_main.
ASR-POWER-S3-APPEARANCE,legacy_generator:POWER:S3,assertion,,function,outlet is larger and a different shape from the others,string,affirm,observed,asserted,apartment,53,existing,,"THE ONLY OBSERVED PART. Visible in 930d/a89d, apartment 53. Scoped there. This is what the owner reasoned FROM."
ASR-POWER-S3-NOT-220,legacy_generator:POWER:S3,assertion,,voltage,220,int,negate,derived,candidate,apartment,ours,existing,,"⚠ POLARITY: this asserts NOT 220 V. The owner's own words are 'this is my guess' - derived from the outlet's appearance and from the cooker position, not measured and not read off a panel. Candidate, not asserted."
ASR-POWER-S3-380,legacy_generator:POWER:S3,assertion,,voltage,380,int,affirm,derived,candidate,apartment,ours,existing,,"⚠ 'вероятно' - PROBABLY. A candidate derived from function: a stove draws more power, so a higher supply is logical. No confirmed 380 V type, circuit or connected load may be assigned from this."
ASR-POWER-S3-3PH,legacy_generator:POWER:S3,assertion,,voltage,three-phase,string,affirm,derived,unknown,apartment,ours,existing,,"⚠ EXPLICITLY UNCERTAIN: 'probably it has 3 phases, but I'm not sure... my guess and speculations'. value_state=unknown, weaker than the 380 V candidate, and kept as its OWN claim - phases and voltage are different facts and must not collapse into one."
ASR-W6-HOST-G6,legacy_comment:4#living_room_switch_at_o10,assertion,OCC-W6,position_along,G6,string,affirm,derived,candidate,apartment,ours,existing,,"The substrate rule DISPROVED R5; it does not prove G6. O10's south edge is touched by G6 cross_hi, R4 end_to and R5 end_to, and G6 is the only aerated-block member of those three - so it is the only chase-able jamb at that opening. Candidate, derived, and it needs the owner: a constraint that eliminates two of three options has still not observed anything."
ASR-SOCK-S4-SUBSTRATE,legacy_generator:SOCK:S4,assertion,,position_along,R2,string,affirm,derived,retracted,apartment,ours,existing,,"⚠ HOST DISPROVEN. The sheet drew S4 on R2, which is concrete. No chased socket can be hosted there. Recorded so the wrong assignment survives as history rather than being quietly deleted; the correct wall is unknown and needs the owner's per-wall count."
ASR-SOCK-S9-SUBSTRATE,legacy_generator:SOCK:S9,assertion,,position_along,R6,string,affirm,derived,retracted,apartment,ours,existing,,"⚠ HOST DISPROVEN, same reason: R6 is concrete. The 9.36 room's second socket cannot be on it."
ASR-MC-EMPTY,legacy_comment:3#zero_outlets_on_mc;legacy_csv:electrical_existing:E-KL-SOC-W,assertion,,count,0,int,affirm,stated,asserted,apartment,ours,existing,,"⚠ BASIS CORRECTED by the §3.0f gate, which refused this row as I first wrote it: I had scoped it to OURS with knowledge_basis=observed, but the photograph is apartment 109. The OWNER-STATED zero for our flat is ; the 109 sighting is OBS-MC-EMPTY-109, a separate record. Owner testimony about ours PLUS an independent comparable agreeing is the strongest combination available - but they are two rows, not one. Separately: MC is block and COULD be chased, so this is an observed absence, NOT the substrate rule."
